method,k,h,rtol,success,n_steps,nfev,njev,newton_iter,cpu_time,error_message,error_q1_rms,error_global_rms,error_final,energy_initial,energy_final,energy_drift_relative,energy_variation_max
Euler_Implicit,100,0.001,,True,10000,118523,10947,10947,3.592315435409546,,0.058305243274677954,4.544304335386185,6.188462778357092,1.948419162864428,-0.034018014483718884,1.017459289629295,1.017459289629295
Trapezoid,100,0.1,,False,0,451,50,50,0.013625383377075195,Newton non converge al passo 1,,,,,,,
Trapezoid,100,0.05,,True,200,35995,3955,3955,1.0974125862121582,,0.20856757162121922,6.150123781181776,0.5918061976013237,1.948419162864428,1.927858523875827,0.010552472168449758,0.048673593455383815
Trapezoid,100,0.02,,True,500,33805,3645,3645,1.0164470672607422,,0.07022116273369158,5.984212768777591,12.436716967446477,1.948419162864428,1.9470878462004684,0.0006832804200111049,0.005623396253884282
Trapezoid,100,0.01,,True,1000,33122,3458,3458,0.9983987808227539,,0.023777881925731322,6.168825039398529,0.7426976937436836,1.948419162864428,1.9476462677843986,0.00039667803250978477,0.0008688053949876508
Trapezoid,100,0.005,,True,2000,40000,4000,4000,1.2005255222320557,,0.017547693931898457,6.514040597028491,7.040231889085333,1.948419162864428,1.9481324409670182,0.0001471561678691048,0.00023739636788504075
Trapezoid,100,0.002,,True,5000,100000,10000,10000,2.9999794960021973,,0.01590809880887004,6.113763981618874,11.079267449004341,1.948419162864428,1.9483785529970707,2.0842469696110003e-05,3.9282916240120044e-05
Trapezoid,100,0.001,,True,10000,199982,19998,19998,6.006559371948242,,0.004907709520654567,1.8525015820896011,0.09376588692078157,1.948419162864428,1.9484070871692276,6.1976885829331544e-06,9.858287300085944e-06
RK4,100,0.1,,False,1,6,0,0,0.0002605915069580078,y_temp(k2) instabile al passo 2,,,,,,,
RK4,100,0.05,,False,3,13,0,0,0.0004000663757324219,y_temp(k1) instabile al passo 4,,,,,,,
RK4,100,0.02,,True,500,2000,0,0,0.05800461769104004,,0.011909175274622444,4.525075517689529,5.954415683811727,1.948419162864428,1.7171272008610365,0.11870749703742517,0.11870749703742517
RK4,100,0.01,,True,1000,4000,0,0,0.11584639549255371,,0.010895478567360032,4.189206624397532,6.0127591286599475,1.948419162864428,1.7234075353528593,0.11548419960147209,0.11548419960147209
RK4,100,0.005,,True,2000,8000,0,0,0.23064184188842773,,0.001948577811993893,0.7419680023460163,0.5816734997809234,1.948419162864428,1.8871340213009609,0.03145377685229195,0.03145377685229195
RK4,100,0.002,,True,5000,20000,0,0,0.5786213874816895,,7.820778927498195e-05,0.029399071784304384,0.009437535489196465,1.948419162864428,1.947670363226998,0.0003843113698025776,0.0003843113698025776
RK4,100,0.001,,True,10000,40000,0,0,1.1586833000183105,,1.1297269981285106e-05,0.004189359092036725,0.0010874105373496327,1.948419162864428,1.9483956411898689,1.2072183956881594e-05,1.2072183956881594e-05
Radau,100,,0.001,True,1731,13025,10,0,0.6025478839874268,,0.00044573265136834105,0.16660375679421735,0.09931283619121806,1.948419162864428,1.943394324852694,0.00257893070829122,0.0025789307082913337
Radau,100,,0.0001,True,3093,22904,2,0,1.058504581451416,,0.0001197095484764612,0.04530946549903764,0.005372898241485973,1.948419162864428,1.9481491729319889,0.00013856871128401722,0.00013856871128413117
Radau,100,,1e-05,True,5617,40992,2,0,1.8710191249847412,,3.492478065153672e-05,0.013639376793997836,0.00028197738189659604,1.948419162864428,1.948405149874123,7.1919793092218635e-06,7.191979309335825e-06
Radau,100,,1e-06,True,10150,73839,2,0,3.3652501106262207,,1.0813462781360553e-05,0.004185567588998097,1.5110792550534203e-05,1.948419162864428,1.9484184103738162,3.8620571289980567e-07,3.8661150511108233e-07
Euler_Explicit,500,0.1,,False,4,4,0,0,0.0002186298370361328,Instabilità numerica al passo 4,,,,,,,
Euler_Explicit,500,0.05,,False,4,4,0,0,0.00017976760864257812,Instabilità numerica al passo 4,,,,,,,
Euler_Explicit,500,0.02,,False,6,6,0,0,0.00019741058349609375,Instabilità numerica al passo 6,,,,,,,
Euler_Explicit,500,0.01,,False,10,10,0,0,0.0003135204315185547,Instabilità numerica al passo 10,,,,,,,
Euler_Explicit,500,0.005,,False,21,21,0,0,0.0006210803985595703,Instabilità numerica al passo 21,,,,,,,
Euler_Explicit,500,0.002,,False,487,487,0,0,0.013379812240600586,Instabilità numerica al passo 487,,,,,,,
