method,k,h,rtol,success,n_steps,nfev,njev,newton_iter,cpu_time,error_message,error_q1_rms,error_global_rms,error_final,energy_initial,energy_final,energy_drift_relative,energy_variation_max,h_equivalent,comparison_type,radau_equivalent_rtol
Euler_Implicit,500,0.0014126289023873428,,True,7079,93430,8808,8808,2.5008952617645264,,0.08376489887033664,11.262152404286939,10.033846957394132,5.948419162864429,-0.06559238034001626,1.011026859161087,1.011026859161087,,fair,0.0001
Trapezoid,500,0.0014126289023873428,,True,7079,141580,14158,14158,3.854280948638916,,0.01766640162473462,15.318780735038452,17.978083022357907,5.948419162864429,5.948463611691291,7.472376381833085e-06,0.00011744106333828163,,fair,0.0001
Radau,500,,1e-05,True,12870,94112,2,0,3.8789615631103516,,3.703823619851615e-05,0.02939587964539292,0.001652764794333409,5.948419162864429,5.9482651124815344,2.589770133487507e-05,2.589770133487507e-05,0.000777000777000777,fair,
RK4,500,0.000777000777000777,,True,12870,51480,0,0,1.3661103248596191,,7.706739925489209e-05,0.06421252168219019,0.10013955307617974,5.948419162864429,5.943817322164951,0.0007736241467660996,0.0007736241467660996,,fair,1e-05
Euler_Explicit,500,0.000777000777000777,,True,12870,12870,0,0,0.32023072242736816,,0.45616356315908313,639.6786743744703,556.5642558981367,5.948419162864429,11511.557724035632,1934.229749090564,4826.2221605488885,,fair,1e-05
Euler_Implicit,500,0.000777000777000777,,True,12870,161982,15138,15138,4.332165956497192,,0.07445729041739343,11.169733527677115,10.032448174730135,5.948419162864429,-0.06297854452380044,1.010587442276592,1.010587442276592,,fair,1e-05
Trapezoid,500,0.000777000777000777,,True,12870,257400,25740,25740,7.597891092300415,,0.019148294234997677,16.79154866007407,2.493239797858192,5.948419162864429,5.948368915767633,8.447134510952106e-06,3.6065143625163155e-05,,fair,1e-05
Radau,500,,1e-06,True,23283,169574,2,0,7.786961793899536,,1.1359830409618075e-05,0.008994309462604858,8.875947203016525e-05,5.948419162864429,5.948410909850339,1.3874298135263442e-06,1.3874298135263442e-06,0.00042949791693510286,fair,
RK4,500,0.00042949791693510286,,True,23283,93132,0,0,2.7519426345825195,,1.25060786820424e-05,0.010707501287761965,0.011493618492179418,5.948419162864429,5.948180685950074,4.00908052753629e-05,4.00908052753629e-05,,fair,1e-06
Euler_Explicit,500,0.00042949791693510286,,True,23283,23283,0,0,0.6519229412078857,,1.1002063676958327,920.5263811769905,375.26918290355826,5.948419162864429,24167.701382105675,4061.8780051316776,7939.683696849262,,fair,1e-06
Euler_Implicit,500,0.00042949791693510286,,True,23283,264420,24206,24206,7.844326496124268,,0.06021429170320275,11.038863668575331,10.027708383808003,5.948419162864429,0.009477638770830953,0.998406696214349,0.998406696214349,,fair,1e-06
Trapezoid,500,0.00042949791693510286,,True,23283,465651,46565,46565,13.982767343521118,,0.010270289150547668,8.544470625444948,20.471992793271482,5.948419162864429,5.948375790463893,7.291416315573413e-06,1.1069783744791694e-05,,fair,1e-06
