method,k,h,rtol,success,n_steps,nfev,njev,newton_iter,cpu_time,error_message,error_q1_rms,error_global_rms,error_final,energy_initial,energy_final,energy_drift_relative,energy_variation_max,h_equivalent,comparison_type,radau_equivalent_rtol
Trapezoid,100,0.0032331070158422245,,True,3093,61860,6186,6186,2.6593189239501953,,0.015701445047666237,5.979312497277981,1.460394499624813,1.948419162864428,1.9483211030508325,5.032788399155492e-05,0.00010144811041560702,,fair,0.0001
Radau,100,,1e-05,True,5617,40992,2,0,2.6764676570892334,,3.492478065153672e-05,0.013639376793997836,0.00028197738189659604,1.948419162864428,1.948405149874123,7.1919793092218635e-06,7.191979309335825e-06,0.0017803097739006587,fair,
RK4,100,0.0017803097739006587,,True,5617,22468,0,0,0.9125359058380127,,5.3805567677500626e-05,0.020182373808649068,0.007045358300321033,1.948419162864428,1.9479999520707902,0.00021515431670335826,0.00021515431670335826,,fair,1e-05
Euler_Explicit,100,0.0017803097739006587,,True,5617,5617,0,0,0.21832513809204102,,0.5383492561478396,289.3093184216,415.8640352845378,1.948419162864428,3223.8334653618385,1653.5892828432186,4341.1113083024375,,fair,1e-05
Euler_Implicit,100,0.0017803097739006587,,True,5617,86789,8395,8395,3.6880135536193848,,0.08206846930092149,4.646529869325626,6.355111089571479,1.948419162864428,-0.26293620484430524,1.1349484802119043,1.1349484802119043,,fair,1e-05
Trapezoid,100,0.0017803097739006587,,True,5617,112340,11234,11234,4.829782962799072,,0.01366741752486957,5.234634195823712,8.043495516091486,1.948419162864428,1.948378094847027,2.1077609060581823e-05,3.1181995826111505e-05,,fair,1e-05
Radau,100,,1e-06,True,10150,73839,2,0,4.850821256637573,,1.0813462781360553e-05,0.004185567588998097,1.5110792550534203e-05,1.948419162864428,1.9484184103738162,3.8620571289980567e-07,3.8661150511108233e-07,0.0009852216748768472,fair,
RK4,100,0.0009852216748768472,,True,10150,40600,0,0,1.675229549407959,,1.0912998065073367e-05,0.004047056573830562,0.0010313116065504232,1.948419162864428,1.9483973277220363,1.120659394441319e-05,1.120659394441319e-05,,fair,1e-06
Euler_Explicit,100,0.0009852216748768472,,True,10150,10150,0,0,0.3886749744415283,,1.0234155512540088,387.8665477570065,180.5817607240589,1.948419162864428,4564.63880735507,2341.739639577585,4429.438365206433,,fair,1e-06
Euler_Implicit,100,0.0009852216748768472,,True,10150,119723,11047,11047,5.139547824859619,,0.05773255441304966,4.54178011689606,6.184510230752183,1.948419162864428,-0.025468207099901663,1.0130712156733566,1.0130712156733566,,fair,1e-06
Trapezoid,100,0.0009852216748768472,,True,10150,202991,20299,20299,8.738424301147461,,0.004767937896505081,1.7994769007492306,0.1337207671783022,1.948419162864428,1.9484073143543068,6.081088888409769e-06,9.567612257004956e-06,,fair,1e-06
Radau,500,,0.001,True,3929,29568,10,0,1.9707813262939453,,0.0006648401105632648,0.5229880158372281,0.530480089888384,5.948419162864429,5.893025507900709,0.009312332141880476,0.009312332141880476,0.0025451768897938407,fair,
RK4,500,0.0025451768897938407,,True,3929,15716,0,0,0.6458554267883301,,0.004400948570035375,3.855268583040418,4.42031128659621,5.948419162864429,5.020532689865433,0.1559887505560682,0.1559887505560682,,fair,0.001
Euler_Explicit,500,0.0025451768897938407,,False,99,99,0,0,0.005217075347900391,Instabilità numerica al passo 99,,,,,,,,,fair,0.001
Euler_Implicit,500,0.0025451768897938407,,True,3929,51391,4837,4837,2.2148802280426025,,0.08872892570570344,11.315546958067426,10.033955019205465,5.948419162864429,-0.06559808176122413,1.0110278176377934,1.0110278176377934,,fair,0.001
Trapezoid,500,0.0025451768897938407,,True,3929,116344,12054,12054,4.9590044021606445,,0.019426804319804883,15.192941755377955,2.483592182786874,5.948419162864429,5.946869885775991,0.0002604519026013242,0.00036702873049358374,,fair,0.001
Radau,500,,0.0001,True,7079,52477,2,0,3.4376018047332764,,0.00013083995987678886,0.10171800795411969,0.03132382422270339,5.948419162864429,5.945452638885327,0.0004987079588508981,0.0004987079588508981,0.0014126289023873428,fair,
RK4,500,0.0014126289023873428,,True,7079,28316,0,0,1.182107925415039,,0.0005406352901287739,0.4565163992726128,0.6387864611700889,5.948419162864429,5.86076611755976,0.014735519287524458,0.014735519287524458,,fair,0.0001
Euler_Explicit,500,0.0014126289023873428,,True,7079,7079,0,0,0.27663230895996094,,0.984871953513235,454.9614259660668,558.694278523201,5.948419162864429,8421.957307846249,1414.8311775377142,9699.764243994327,,fair,0.0001
Euler_Implicit,500,0.0014126289023873428,,True,7079,93430,8808,8808,4.061525583267212,,0.08376489887033664,11.262152404286939,10.033846957394132,5.948419162864429,-0.06559238034001626,1.011026859161087,1.011026859161087,,fair,0.0001
Trapezoid,500,0.0014126289023873428,,True,7079,141580,14158,14158,6.18503212928772,,0.01766640162473462,15.318780735038452,17.978083022357907,5.948419162864429,5.948463611691291,7.472376381833085e-06,0.00011744106333828163,,fair,0.0001
Radau,500,,1e-05,True,12870,94112,2,0,6.287020921707153,,3.703823619851615e-05,0.02939587964539292,0.001652764794333409,5.948419162864429,5.9482651124815344,2.589770133487507e-05,2.589770133487507e-05,0.000777000777000777,fair,
RK4,500,0.000777000777000777,,True,12870,51480,0,0,2.1087536811828613,,7.706739925489209e-05,0.06421252168219019,0.10013955307617974,5.948419162864429,5.943817322164951,0.0007736241467660996,0.0007736241467660996,,fair,1e-05
Euler_Explicit,500,0.000777000777000777,,True,12870,12870,0,0,0.4964601993560791,,0.45616356315908313,639.6786743744703,556.5642558981367,5.948419162864429,11511.557724035632,1934.229749090564,4826.2221605488885,,fair,1e-05
Euler_Implicit,500,0.000777000777000777,,True,12870,161982,15138,15138,6.966254711151123,,0.07445729041739343,11.169733527677115,10.032448174730135,5.948419162864429,-0.06297854452380044,1.010587442276592,1.010587442276592,,fair,1e-05
Trapezoid,500,0.000777000777000777,,True,12870,257400,25740,25740,11.16006588935852,,0.019148294234997677,16.79154866007407,2.493239797858192,5.948419162864429,5.948368915767633,8.447134510952106e-06,3.6065143625163155e-05,,fair,1e-05
Radau,500,,1e-06,True,23283,169574,2,0,11.22258996963501,,1.1359830409618075e-05,0.008994309462604858,8.875947203016525e-05,5.948419162864429,5.948410909850339,1.3874298135263442e-06,1.3874298135263442e-06,0.00042949791693510286,fair,
RK4,500,0.00042949791693510286,,True,23283,93132,0,0,3.8309555053710938,,1.25060786820424e-05,0.010707501287761965,0.011493618492179418,5.948419162864429,5.948180685950074,4.00908052753629e-05,4.00908052753629e-05,,fair,1e-06
Euler_Explicit,500,0.00042949791693510286,,True,23283,23283,0,0,0.9136672019958496,,1.1002063676958327,920.5263811769905,375.26918290355826,5.948419162864429,24167.701382105675,4061.8780051316776,7939.683696849262,,fair,1e-06
Euler_Implicit,500,0.00042949791693510286,,True,23283,264420,24206,24206,11.373695850372314,,0.06021429170320275,11.038863668575331,10.027708383808003,5.948419162864429,0.009477638770830953,0.998406696214349,0.998406696214349,,fair,1e-06
Trapezoid,500,0.00042949791693510286,,True,23283,465651,46565,46565,20.224356651306152,,0.010270289150547668,8.544470625444948,20.471992793271482,5.948419162864429,5.948375790463893,7.291416315573413e-06,1.1069783744791694e-05,,fair,1e-06
